warragal	Australian wild horse | wolflike yellowish-brown wild dog of Australia
warrant	provide adequate grounds to justify (a certain course of action) | a writ from a court commanding police to perform specified acts | a type of security issued by a corporation (usually together with a bond or preferred stock) that gives the holder the right to purchase a certain amount of common stock at a stated price | formal and explicit approval | a written assurance that some product or service will be provided or will meet certain specifications | stand behind and guarantee the quality, accuracy, or condition of
warrant officer	holds rank by virtue of a warrant
warrantee	a recipient of a warrant issued by a court in the United States | a customer to whom a warrant or guarantee is given | a written assurance that some product or service will be provided or will meet certain specifications
warranter	one who provides a warrant or guarantee to another
warrantor	one who provides a warrant or guarantee to another
warranty	a written assurance that some product or service will be provided or will meet certain specifications
warred	@war
warren	United States writer and poet (1905-1989) | United States jurist who served as chief justice of the United States Supreme Court (1891-1974) | a series of connected underground tunnels occupied by rabbits | an overcrowded residential area | a colony of rabbits
Warren Burger	United States jurist appointed chief justice of the United States Supreme Court by Richard Nixon (1907-1995)
Warren E. Burger	United States jurist appointed chief justice of the United States Supreme Court by Richard Nixon (1907-1995)
Warren Earl Burger	United States jurist appointed chief justice of the United States Supreme Court by Richard Nixon (1907-1995)
Warren G. Harding	29th President of the United States; two of his appointees were involved in the Teapot Dome scandal (1865-1923)
Warren Gamaliel Harding	29th President of the United States; two of his appointees were involved in the Teapot Dome scandal (1865-1923)
Warren Harding	29th President of the United States; two of his appointees were involved in the Teapot Dome scandal (1865-1923)
warrener	maintains a rabbit warren
warrigal	Australian wild horse | wolflike yellowish-brown wild dog of Australia
warring	engaged in war
warrior	someone engaged in or experienced in warfare
warriorlike	(of persons) befitting a warrior
Wars of the Roses	struggle for the English throne (1455-1485) between the house of York (white rose) and the house of Lancaster (red rose) ending with the accession of the Tudor monarch Henry VII
Warsaw	the capital and largest city of Poland; located in central Poland
warship	a government ship that is available for waging war
Warszawa	the capital and largest city of Poland; located in central Poland
wart	any small rounded protuberance (as on certain plants or animals) | an imperfection in someone or something that is suggestive of a wart (especially in smallness or unattractiveness) | (pathology) a firm abnormal elevated blemish on the skin; caused by a virus
warthog	African wild swine with warty protuberances on the face and large protruding tusks
wartime	a period of time during which there is armed conflict
wartlike	(of skin) covered with warts or projections that resemble warts
wartweed	not unattractive European weed whose flowers turn toward the sun
wartwort	not unattractive European weed whose flowers turn toward the sun
warty	(of skin) covered with warts or projections that resemble warts
Warwick	English statesman; during the War of the Roses he fought first for the house of York and secured the throne for Edward IV and then changed sides to fight for the house of Lancaster and secured the throne for Henry VI (1428-1471)
wary	marked by keen caution and watchful prudence | openly distrustful and unwilling to confide
was	@be
wasabi	a Japanese plant of the family Cruciferae with a thick green root | the thick green root of the wasabi plant that the Japanese use in cooking and that tastes like strong horseradish; in powder or paste form it is often eaten with raw fish
